Pool Name,Risk (Exponential),Yield (30d APY),Pool URL (Exponential),Protocol name,Assets (tickers),Assets (names),Protocol,Assets
Uniswap BTC-USD Market Making,B,0.142,https://exponential.fi/pools/5e8147a4-907e-4211-9a2f-83ece691f00d,Uniswap v3,"WBTC,USDT","Wrapped BTC (Ethereum),Tether USD (Ethereum)",https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c"
Biswap BTC-USD Market Making,D,0.0865,https://exponential.fi/pools/ac2be019-abfe-4910-a84a-c9b8807feb2b,Biswap,"BTCB,USDT","Binance-Peg BTCB Token,Binance-Peg BSC-USD",https://www.notion.so/Biswap-0036fedc12784545b7f214ce53097743,"https://www.notion.so/Binance-Peg-BTCB-Token-4c535e60b5b2497cab26731b8918e2a8, https://www.notion.so/Binance-Peg-BSC-USD-751e42f80a8d4f0181e6eccb259e6bd5"
PancakeSwap BTC-USD Market Making,C,0.0776,https://exponential.fi/pools/ed0945fb-bfe6-4ec1-8da3-9e80b7c7cbbb,PancakeSwap,"BTCB,BUSD","Binance-Peg BTCB Token,Binance-Peg BUSD Token (BNB Chain)",https://www.notion.so/PancakeSwap-32b4818edafc4001a72dc4c490abd625,"https://www.notion.so/Binance-Peg-BTCB-Token-4c535e60b5b2497cab26731b8918e2a8, https://www.notion.so/Binance-Peg-BUSD-Token-BNB-Chain-d166c7036d554bdb9ebc33f90e70baaf"
Beefy BTC-USD Market Making,D,0.0448,https://exponential.fi/pools/aa31cfc4-ab5b-4fce-b624-c664ee7520d9,Beefy,"BTCB,BUSD","Binance-Peg BTCB Token,Binance-Peg BUSD Token (BNB Chain)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/Binance-Peg-BTCB-Token-4c535e60b5b2497cab26731b8918e2a8, https://www.notion.so/Binance-Peg-BUSD-Token-BNB-Chain-d166c7036d554bdb9ebc33f90e70baaf"
Uniswap OP-USD Market Making,B,2.0319,https://exponential.fi/pools/41b9692f-56f6-4044-9c12-6b4829655be6,Uniswap v3,"OP,USDC","Optimism,USD Coin (Optimism)",https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/Optimism-5af2ff956ea14d0bbf162c6c1199d7f2, https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921"
Trader Joe AVAX-USD Market Making,B,1.8964,https://exponential.fi/pools/753b9778-f799-4566-a56a-db5e08809cc5,Trader Joe,"USDC,AVAX","USD Coin (Native Avalanche),Avalanche",https://www.notion.so/Trader-Joe-46defacf2d934594842bbb52d75bb6b9,"https://www.notion.so/USD-Coin-Native-Avalanche-505faddf33824d36b069fd787d2dc379, https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6"
Uniswap GMX-USD Market Making 1bp,C,0.8584,https://exponential.fi/pools/60ab3d8f-17d8-4a9b-ab3c-3c8801fe8825,Uniswap v3,"GMX,USDC","GMX,USD Coin (Arbitrum)",https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/GMX-cf3ed67e645c4268934e904a1d17f1d3, https://www.notion.so/USD-Coin-Arbitrum-ee19df9327cb4589a30303ab1ae833a0"
Lifinity SOL-USDC Market Making,C,0.7117,https://exponential.fi/pools/bf9e9235-0196-43c0-b540-2186e3020213,Lifinity,"SOL,USDC","SOL,USD Coin (Native Solana)",https://www.notion.so/Lifinity-016af7659bf943daae0512b11acbf1fb,"https://www.notion.so/SOL-f8685a5af633437a90071cab4c6cf071, https://www.notion.so/USD-Coin-Native-Solana-b0430fe3f8d44468aae4d221c5f45bc0"
KyberSwap MATIC-USD Market Making,C,0.7027,https://exponential.fi/pools/f1582d05-8833-48fe-93b3-e9e8aa06d263,KyberSwap,"USDT,stMATIC","Tether USD (PoS Polygon),Lido Staked MATIC (Polygon)",https://www.notion.so/KyberSwap-afb9abc1379542e3875e4fe42ca7282e,"https://www.notion.so/Tether-USD-PoS-Polygon-f7228cfada3b4c2b94e836181091cd7d, https://www.notion.so/Lido-Staked-MATIC-Polygon-6d4bdaf5af1445acb09b530ceccc2779"
KyberSwap MATIC-USD Market Making,C,0.6182,https://exponential.fi/pools/f5443e6e-dc76-4c24-bd13-9c06e4afde60,KyberSwap,"USDC,MATIC","USD Coin (PoS Polygon),MATIC",https://www.notion.so/KyberSwap-afb9abc1379542e3875e4fe42ca7282e,"https://www.notion.so/USD-Coin-PoS-Polygon-63baa480cefb4baf806172a19c7a04c0, https://www.notion.so/MATIC-e22993a7275f4e0788241f86bba81d15"
