Pool Name,Risk (Exponential),Yield (30d APY),Pool URL (Exponential),Protocol name,Assets (tickers),Assets (names),Protocol,Assets
AutoFarm USD Market Making,D,0.0211,https://exponential.fi/pools/818ebd3b-114e-4c5b-969f-28a4b5977247,Autofarm,"BUSD,DAI,USDC,USDT","Binance-Peg BUSD Token (BNB Chain),Dai Stablecoin (BNB Chain),Binance-Peg USD Coin,Binance-Peg BSC-USD",https://www.notion.so/Autofarm-d8554328d59d4f00a02474a0f1521152,"https://www.notion.so/Binance-Peg-BUSD-Token-BNB-Chain-d166c7036d554bdb9ebc33f90e70baaf, https://www.notion.so/Dai-Stablecoin-BNB-Chain-0e120024d1b24ca79f786e3600dc69d6, https://www.notion.so/Binance-Peg-USD-Coin-5c2a708661b146ab9a669b22a3768461, https://www.notion.so/Binance-Peg-BSC-USD-751e42f80a8d4f0181e6eccb259e6bd5"
Balancer USD Market Making,C,0.0605,https://exponential.fi/pools/db2a4d50-a018-41f9-975e-9b829c9f197b,Balancer,"USDC,DAI,USDT,miMATIC (PoS Polygon)","USD Coin (PoS Polygon),Dai Stablecoin (PoS Polygon),Tether USD (PoS Polygon),miMATIC (PoS Polygon)",https://www.notion.so/Balancer-84f749d54eef479fb6da9bfbc4aca07e,"https://www.notion.so/USD-Coin-PoS-Polygon-63baa480cefb4baf806172a19c7a04c0, https://www.notion.so/Dai-Stablecoin-PoS-Polygon-b008df7a3ed44f6ba265a4aebe9a58d0, https://www.notion.so/Tether-USD-PoS-Polygon-f7228cfada3b4c2b94e836181091cd7d, https://www.notion.so/miMATIC-PoS-Polygon-8289a31ba5294684a127ab8b691d35a3"
Balancer USD Market Making,B,0.0484,https://exponential.fi/pools/68ba2005-8793-43a2-a902-6a87ed51af00,Balancer,"USDC,USDT,DAI","USD Coin (Ethereum),Tether USD (Ethereum),Dai Stablecoin",https://www.notion.so/Balancer-84f749d54eef479fb6da9bfbc4aca07e,"https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364"
Balancer COMP-ETH Market Making,B,0.0461,https://exponential.fi/pools/189ddbfd-aecc-419d-af4e-5b73a039a2d7,Balancer,"COMP,ETH","Compound,Ether",https://www.notion.so/Balancer-84f749d54eef479fb6da9bfbc4aca07e,"https://www.notion.so/Compound-43ad44f09a8946d0943e1c942852c55b, https://www.notion.so/Ether-083c480c6565470385190396104819ad"
Balancer MATIC Market Making,B,0.0282,https://exponential.fi/pools/208f32d0-c1c8-431d-986f-0a3a1284e9be,Balancer,"MATIC,stMATIC","MATIC,Lido Staked MATIC (Polygon)",https://www.notion.so/Balancer-84f749d54eef479fb6da9bfbc4aca07e,"https://www.notion.so/MATIC-e22993a7275f4e0788241f86bba81d15, https://www.notion.so/Lido-Staked-MATIC-Polygon-6d4bdaf5af1445acb09b530ceccc2779"
Trader Joe USD Lending,C,0.0412,https://exponential.fi/pools/68e70959-30a2-438e-8595-37279dba3be8,Banker Joe,MIM,Magic Internet Money (Avalanche),https://www.notion.so/Banker-Joe-546aafc3097642b3b4b9bfbef1242e8e,https://www.notion.so/Magic-Internet-Money-Avalanche-bb660b5e4597477b9aeb938be4fd4a8d
Trader Joe USD Lending,C,0.0391,https://exponential.fi/pools/afa37f62-d656-4706-9c50-0de8b9773f5c,Banker Joe,USDT.e,Tether USD (Avalanche),https://www.notion.so/Banker-Joe-546aafc3097642b3b4b9bfbef1242e8e,https://www.notion.so/Tether-USD-Avalanche-ab8398ee64df4afe90a3cbac6fc9859d
Trader Joe ETH Lending,C,0.0311,https://exponential.fi/pools/e68f049f-e64c-4b4d-9cdb-e49140deb841,Banker Joe,WETH.e,Wrapped Ether (Avalanche),https://www.notion.so/Banker-Joe-546aafc3097642b3b4b9bfbef1242e8e,https://www.notion.so/Wrapped-Ether-Avalanche-01314a9ad0664ec8b31e8b5b6264387a
Trader Joe USD Lending,C,0.0223,https://exponential.fi/pools/b62835f9-b22b-474c-8a30-48581313781a,Banker Joe,DAI,Dai Stablecoin (Avalanche),https://www.notion.so/Banker-Joe-546aafc3097642b3b4b9bfbef1242e8e,https://www.notion.so/Dai-Stablecoin-Avalanche-50e5e95542d446328030694140989c60
Trader Joe USD Lending,C,0.0206,https://exponential.fi/pools/c91416ff-fc0a-40d4-a257-9b36857b030b,Banker Joe,USDC,USD Coin Avalanche Bridged,https://www.notion.so/Banker-Joe-546aafc3097642b3b4b9bfbef1242e8e,https://www.notion.so/USD-Coin-Avalanche-Bridged-f53a8bb79e4d47c8be610da9aeeaef77
Trader Joe AVAX Lending,B,0.0041,https://exponential.fi/pools/ce6eaf52-c231-46ba-9926-d7b05729c1a7,Banker Joe,AVAX,Avalanche,https://www.notion.so/Banker-Joe-546aafc3097642b3b4b9bfbef1242e8e,https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6
Beefy AVAX-ETH Market Making,C,0.1073,https://exponential.fi/pools/5af59995-38f6-4256-ba41-4efc2bb95f28,Beefy,"WETH.e,AVAX","Wrapped Ether (Avalanche),Avalanche",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/Wrapped-Ether-Avalanche-01314a9ad0664ec8b31e8b5b6264387a, https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6"
Beefy USD Market Making,D,0.1056,https://exponential.fi/pools/040f45e9-d457-4853-94a1-7142cc1031db,Beefy,"USDC,sUSD","USD Coin (Optimism),Synth USD (Optimism)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921, https://www.notion.so/Synth-USD-Optimism-012810cb4e0549f49efb1892a573afb3"
Beefy USD Market Making,D,0.0948,https://exponential.fi/pools/ced0d107-978a-4c80-b5a9-c97a3ac35eac,Beefy,"MIM,USDC,USDT","Magic Internet Money (Arbitrum),USD Coin (Arbitrum),Tether USD (Arbitrum)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/Magic-Internet-Money-Arbitrum-56c14b4593304ae092f79e699896609f, https://www.notion.so/USD-Coin-Arbitrum-ee19df9327cb4589a30303ab1ae833a0, https://www.notion.so/Tether-USD-Arbitrum-35225ab62f8844a5a5ded091704def40"
Beefy USD Market Making,D,0.0929,https://exponential.fi/pools/92758a66-1088-43a3-b5f7-c7d2426eaf47,Beefy,"USDC,miMATIC","USD Coin (Optimism),Mai Stablecoin (Optimism)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921, https://www.notion.so/Mai-Stablecoin-Optimism-e8500a9b9aa446559ed56991c951e712"
Beefy USD Market Making,C,0.092,https://exponential.fi/pools/1a9b7dba-8c59-4a46-abf0-05eab9603a52,Beefy,"sUSD,USDT,DAI,USDC","Synth USD (Optimism),Tether USD (Optimism),Dai Stablecoin (Optimism),USD Coin (Optimism)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/Synth-USD-Optimism-012810cb4e0549f49efb1892a573afb3, https://www.notion.so/Tether-USD-Optimism-08cb52b8fff64906bdfbdec9b9ef41bb, https://www.notion.so/Dai-Stablecoin-Optimism-e1f800b120b64918a14bd49e952e0b66, https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921"
Beefy USD Market Making,D,0.0881,https://exponential.fi/pools/01e057e1-23bb-4f8c-9aba-ce548297b468,Beefy,"USDC,LUSD","USD Coin (Optimism),LUSD Stablecoin (Optimism)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921, https://www.notion.so/LUSD-Stablecoin-Optimism-470efeec3ab240db8c40a92c2778c740"
Beefy USD Market Making,D,0.0826,https://exponential.fi/pools/5b2ddd2d-ef42-4084-9602-f323948bcbe2,Beefy,"miMATIC,DAI,USDC,USDT.e","miMATIC (Avalanche),Dai Stablecoin (Avalanche),USD Coin Avalanche Bridged,Tether USD (Avalanche)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/miMATIC-Avalanche-c08175deb0c3487c811810a0a579e3d3, https://www.notion.so/Dai-Stablecoin-Avalanche-50e5e95542d446328030694140989c60, https://www.notion.so/USD-Coin-Avalanche-Bridged-f53a8bb79e4d47c8be610da9aeeaef77, https://www.notion.so/Tether-USD-Avalanche-ab8398ee64df4afe90a3cbac6fc9859d"
Beefy USD Market Making,D,0.0755,https://exponential.fi/pools/95a0f31d-ce85-41dd-b37e-6031ba525769,Beefy,"USDC,DAI","USD Coin (Optimism),Dai Stablecoin (Optimism)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921, https://www.notion.so/Dai-Stablecoin-Optimism-e1f800b120b64918a14bd49e952e0b66"
Beefy USD Market Making,F,0.058,https://exponential.fi/pools/a1cbafd1-9083-4211-9745-cb2a48ee3292,Beefy,"USDC,miMATIC (PoS Polygon)","USD Coin (PoS Polygon),miMATIC (PoS Polygon)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/USD-Coin-PoS-Polygon-63baa480cefb4baf806172a19c7a04c0, https://www.notion.so/miMATIC-PoS-Polygon-8289a31ba5294684a127ab8b691d35a3"
Beefy MATIC Market Making,C,0.0449,https://exponential.fi/pools/17683da4-7787-406f-9dc1-6a044d162911,Beefy,"stMATIC,MATIC","Lido Staked MATIC (Polygon),MATIC",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/Lido-Staked-MATIC-Polygon-6d4bdaf5af1445acb09b530ceccc2779, https://www.notion.so/MATIC-e22993a7275f4e0788241f86bba81d15"
Beefy EUR-USD Market Making,C,0.0356,https://exponential.fi/pools/84433a87-f709-4f54-a8b8-c647da8a85a5,Beefy,"EURT,DAI,USDC,USDT","Tether EURt,Dai Stablecoin (PoS Polygon),USD Coin (PoS Polygon),Tether USD (PoS Polygon)",https://www.notion.so/Beefy-20c692aec6c340fdb06932e2147569e4,"https://www.notion.so/Tether-EURt-f21fe82f5e6143b89dcb355b5bc0c29a, https://www.notion.so/Dai-Stablecoin-PoS-Polygon-b008df7a3ed44f6ba265a4aebe9a58d0, https://www.notion.so/USD-Coin-PoS-Polygon-63baa480cefb4baf806172a19c7a04c0, https://www.notion.so/Tether-USD-PoS-Polygon-f7228cfada3b4c2b94e836181091cd7d"
Beethoven USD Market Making,C,0.0533,https://exponential.fi/pools/abaf9da4-6e2a-47ff-bda0-d9dac8282bf5,Beethoven X,"DAI,USDC","Dai Stablecoin (Fantom),USD Coin (Fantom)",https://www.notion.so/Beethoven-X-708095aef6614b3d90e59e26d44b8fd6,"https://www.notion.so/Dai-Stablecoin-Fantom-08ce915fb42446beb656af5fdb310a64, https://www.notion.so/USD-Coin-Fantom-62a69620e38f465ab7b3fbb36d336b01"
Beethoven USD Market Making,D,0.0387,https://exponential.fi/pools/ae3b19d9-adb0-4d2c-9609-ac0c9ebd1d4a,Beethoven X,"miMATIC,DAI,USDC","miMATIC (Avalanche),Dai Stablecoin (Fantom),USD Coin (Fantom)",https://www.notion.so/Beethoven-X-708095aef6614b3d90e59e26d44b8fd6,"https://www.notion.so/miMATIC-Avalanche-c08175deb0c3487c811810a0a579e3d3, https://www.notion.so/Dai-Stablecoin-Fantom-08ce915fb42446beb656af5fdb310a64, https://www.notion.so/USD-Coin-Fantom-62a69620e38f465ab7b3fbb36d336b01"
Benqi USD Lending,B,0.0426,https://exponential.fi/pools/85b26df1-1fa1-4cef-b250-02958bdca6b4,Benqi,USDT,Tether Token (native Avalanche),https://www.notion.so/Benqi-a29f4b34172446a2a56ba7a5b35f3f76,https://www.notion.so/Tether-Token-native-Avalanche-d26808b765454086a2951aa642fdbb01
Benqi USD Lending,C,0.0338,https://exponential.fi/pools/0e928b1e-ad9f-4ca8-866d-9355ecc54ec9,Benqi,DAI,Dai Stablecoin (Avalanche),https://www.notion.so/Benqi-a29f4b34172446a2a56ba7a5b35f3f76,https://www.notion.so/Dai-Stablecoin-Avalanche-50e5e95542d446328030694140989c60
Benqi AVAX Lending,B,0.0307,https://exponential.fi/pools/92259c44-1a63-468c-a31e-8fe503faad3e,Benqi,AVAX,Avalanche,https://www.notion.so/Benqi-a29f4b34172446a2a56ba7a5b35f3f76,https://www.notion.so/Avalanche-1d59b00278c640f6871ccb48942099a6
Benqi AVAX Lending,C,0.0277,https://exponential.fi/pools/fcdc2a44-9224-4529-92e6-c15838f31c83,Benqi,sAVAX,Benqi Liquid Staked AVAX,https://www.notion.so/Benqi-a29f4b34172446a2a56ba7a5b35f3f76,https://www.notion.so/Benqi-Liquid-Staked-AVAX-6576b2eaa3004735bedd7994d8c4c2c7
Benqi USD Lending,B,0.0268,https://exponential.fi/pools/d4317b35-dd8b-48a5-8cb6-7aa1f34c6542,Benqi,USDC,USD Coin (Native Avalanche),https://www.notion.so/Benqi-a29f4b34172446a2a56ba7a5b35f3f76,https://www.notion.so/USD-Coin-Native-Avalanche-505faddf33824d36b069fd787d2dc379
Benqi ETH Lending,C,0.0017,https://exponential.fi/pools/462cbe9b-ce67-4c23-a3d6-0804646cfefc,Benqi,WETH.e,Wrapped Ether (Avalanche),https://www.notion.so/Benqi-a29f4b34172446a2a56ba7a5b35f3f76,https://www.notion.so/Wrapped-Ether-Avalanche-01314a9ad0664ec8b31e8b5b6264387a
cBridge ETH Ethereum,B,0.053,https://exponential.fi/pools/b4c3e35c-3a87-41c1-9564-7698fd7e6bb3,cBridge,ETH,Ether,https://www.notion.so/cBridge-f8315190f53d4661b8ab4615f97c40f3,https://www.notion.so/Ether-083c480c6565470385190396104819ad
cBridge ETH BNB Chain,C,0.0275,https://exponential.fi/pools/3a4a2c91-3b20-4a6f-af54-587b1497d6a2,cBridge,ETH,Binance-Peg Ethereum Token,https://www.notion.so/cBridge-f8315190f53d4661b8ab4615f97c40f3,https://www.notion.so/Binance-Peg-Ethereum-Token-c4f2f0c3ee58409799b6302c8153bb7a
Chicken Bonds USD Bonding,C,0.0464,https://exponential.fi/pools/89fccbe8-e659-4d25-b28f-f8ccb8761e8f,Chicken Bonds,bLUSD,Boosted LUSD,https://www.notion.so/Chicken-Bonds-e0ca813fc00c4e55bb14d5699f0e9a14,https://www.notion.so/Boosted-LUSD-f0509f75519e497297ebc010cb217851
Clearpool-Auros USD Lending,D,0.1256,https://exponential.fi/pools/52e0a308-cb64-4921-bf53-f812cad17179,Clearpool,USDC,USD Coin (PoS Polygon),https://www.notion.so/Clearpool-dfb7972343f44de1bf441f67894db780,https://www.notion.so/USD-Coin-PoS-Polygon-63baa480cefb4baf806172a19c7a04c0
Compound USD Lending,A,0.0215,https://exponential.fi/pools/3d5b30cb-04bd-4165-a0d1-80a36c9752a6,Compound,USDC,USD Coin (Ethereum),https://www.notion.so/Compound-3555715193ca4e51b456b74411e2a75a,https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316
Compound ETH Lending,A,0.0024,https://exponential.fi/pools/f98dcf16-450b-40f9-9aaf-808a3e327e89,Compound,ETH,Ether,https://www.notion.so/Compound-3555715193ca4e51b456b74411e2a75a,https://www.notion.so/Ether-083c480c6565470385190396104819ad
Compound BTC Lending,A,0.0003,https://exponential.fi/pools/2613995c-8b39-4bc1-a72f-0d2adc920c9e,Compound,WBTC,Wrapped BTC (Ethereum),https://www.notion.so/Compound-3555715193ca4e51b456b74411e2a75a,https://www.notion.so/Wrapped-BTC-Ethereum-a8a21ace393f4b1da2af0172d9694b73
Convex CRV Fee Sharing,B,0.178,https://exponential.fi/pools/32ecbb47-2eec-47d8-9815-99c1ab666aff,Convex,CRV,Curve DAO Token (Ethereum),https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,https://www.notion.so/Curve-DAO-Token-Ethereum-df950fa87eb44d85b26c1a0d26991e3f
Convex EUR-USD Market Making,C,0.1075,https://exponential.fi/pools/c89a90c8-7ee1-4f59-8a21-f9853b6c15ef,Convex,"EURT,DAI,USDC,USDT","Tether EURt,Dai Stablecoin,USD Coin (Ethereum),Tether USD (Ethereum)",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Tether-EURt-f21fe82f5e6143b89dcb355b5bc0c29a, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c"
Convex EUR Market Making,C,0.1067,https://exponential.fi/pools/fbbbcc56-c979-42b9-9464-584f3b9e7795,Convex,"EURT,EURS,agEUR","Tether EURt,Statis Euro,agEUR (Ethereum)",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Tether-EURt-f21fe82f5e6143b89dcb355b5bc0c29a, https://www.notion.so/Statis-Euro-9a3c212d00074bbca972ea859a142623, https://www.notion.so/agEUR-Ethereum-2264a5f36df84c34af56a246be239904"
Convex EUR Market Making,F,0.0964,https://exponential.fi/pools/1b89d4fb-5cce-43d7-9300-cb1aa608c86d,Convex,"EUROC,agEUR,CEUR","Euro Coin,agEUR (Ethereum),Celo Euro",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Euro-Coin-000fd933786847968a3d00f57e520aea, https://www.notion.so/agEUR-Ethereum-2264a5f36df84c34af56a246be239904, https://www.notion.so/Celo-Euro-751e7b6430314c75aeee4d48b3a3599f"
Convex USD Market Making,C,0.0919,https://exponential.fi/pools/c2615139-ec1d-4b53-9cdb-3763c26e2d08,Convex,"MIM,DAI,USDC,USDT","Magic Internet Money (Ethereum),Dai Stablecoin,USD Coin (Ethereum),Tether USD (Ethereum)",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Magic-Internet-Money-Ethereum-07799e51635c40b39aff0e62364450b9, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c"
Convex EUR Market Making,C,0.0621,https://exponential.fi/pools/41727732-8bd2-40de-b6f6-c025aa4f6076,Convex,"EUROC,agEUR","Euro Coin,agEUR (Ethereum)",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Euro-Coin-000fd933786847968a3d00f57e520aea, https://www.notion.so/agEUR-Ethereum-2264a5f36df84c34af56a246be239904"
Convex ETH Market Making,B,0.0585,https://exponential.fi/pools/80570efb-c0f1-4396-aa37-53eec4ce7199,Convex,"ETH,stETH","Ether,Lido Staked ETH",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426"
Convex USD Market Making,C,0.0368,https://exponential.fi/pools/e885356a-ecde-4c2f-b436-f7d08636dc51,Convex,"sUSD,DAI,USDC,USDT","Synth USD,Dai Stablecoin,USD Coin (Ethereum),Tether USD (Ethereum)",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Synth-USD-0e11b81f7fd2428795ce2eb0e53019ee, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c"
Convex USD Market Making,C,0.028,https://exponential.fi/pools/db592ceb-8695-48d3-aafb-4c2d7da153a0,Convex,"DAI,USDC,USDT","Dai Stablecoin,USD Coin (Ethereum),Tether USD (Ethereum)",https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c"
Convex CVX Staking,B,0.0243,https://exponential.fi/pools/93ff79ca-623d-409d-97e9-5942afa4250d,Convex,CVX,Convex Token,https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,https://www.notion.so/Convex-Token-8d2304008b3849e3b50a1616890ccb2d
Curve USD Market Making,C,0.1152,https://exponential.fi/pools/5d52cee7-a71f-4a9b-8091-9296b2a03ba8,Curve,"aDAI,amUSDC,aUSDT","Aave Avalanche Market Dai,Aave Matic Market USDC,Aave Avalanche Market USDT",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Aave-Avalanche-Market-Dai-3f89c6719f8b4f049615daf494a33803, https://www.notion.so/Aave-Matic-Market-USDC-52b8dbb076ff4aaa9b51872753e10ee5, https://www.notion.so/Aave-Avalanche-Market-USDT-62ba49668bf543b5a46b0cae7d1c8936"
Curve USD Market Making,D,0.0686,https://exponential.fi/pools/03b278f2-5e2d-4c13-ba32-3b17d21492d7,Curve,GUSDT,"gDAI,gUSDC,Global Utility Smart Digital Token",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/gDAI-aedfdb14a2bc4a3dbaf658f85f8ae380, https://www.notion.so/gUSDC-d38f3058a79b4317a1ae04faceaaa185, https://www.notion.so/Global-Utility-Smart-Digital-Token-d56b193a842249478e693d814b3e765b"
Curve USD Market Making,C,0.0612,https://exponential.fi/pools/9cfe6115-9959-4bf5-b2a2-26620828a1da,Curve,"cyDAI,cyUSDC,cyUSDT","Iron Bank (Yearn) Dai Stablecoin,Iron Bank (Yearn) USD Coin,Iron Bank (Yearn) Tether USD",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Iron-Bank-Yearn-Dai-Stablecoin-d521bda10716421ebc76cbed433f1231, https://www.notion.so/Iron-Bank-Yearn-USD-Coin-75557efb40fb44f8aaf7ee31a67d3004, https://www.notion.so/Iron-Bank-Yearn-Tether-USD-fc1f79c9b4544a399d31efdc88603b35"
Curve USD Market Making,C,0.051,https://exponential.fi/pools/ae4b7386-afcc-46d3-953c-ff3261b726da,Curve,"MIM,DAI,USDC,USDT","Magic Internet Money (Ethereum),Dai Stablecoin,USD Coin (Ethereum),Tether USD (Ethereum)",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Magic-Internet-Money-Ethereum-07799e51635c40b39aff0e62364450b9, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c"
Curve USD Market Making,D,0.0314,https://exponential.fi/pools/d60fa5aa-ef6b-478b-960e-f917732c1d8a,Curve,"LUSD,bLUSD","LUSD Stablecoin (Ethereum),Boosted LUSD",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/LUSD-Stablecoin-Ethereum-b727ad5e1fb647e2908281c8bfd949a6, https://www.notion.so/Boosted-LUSD-f0509f75519e497297ebc010cb217851"
Curve USD Market Making,D,0.0284,https://exponential.fi/pools/b616c0d2-6ca4-4b44-b2be-a0ede4725a0b,Curve,"FRAX,DAI,USDC,USDT","Frax (Ethereum),Dai Stablecoin,USD Coin (Ethereum),Tether USD (Ethereum)",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c"
Curve USD Market Making,C,0.0229,https://exponential.fi/pools/bcf1d96a-2362-458e-99b5-98bfd7c59560,Curve,"sUSD,DAI,USDC,USDT","Synth USD,Dai Stablecoin,USD Coin (Ethereum),Tether USD (Ethereum)",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Synth-USD-0e11b81f7fd2428795ce2eb0e53019ee, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c"
Curve USD Market Making,B,0.0143,https://exponential.fi/pools/d5c62164-1050-4b70-94df-4bebc5ecf1d0,Curve,"USDT,USDC,DAI","Tether USD (Ethereum),USD Coin (Ethereum),Dai Stablecoin",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364"
Curve USD Market Making,C,0.0094,https://exponential.fi/pools/6983a7a9-5ea3-42b6-b6b9-8eced4f44f54,Curve,"amUSDC,amDAI,amUSDT","Aave Matic Market USDC,Aave Matic Market DAI,Aave Matic Market USDT",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Aave-Matic-Market-USDC-52b8dbb076ff4aaa9b51872753e10ee5, https://www.notion.so/Aave-Matic-Market-DAI-18d6510edf304d5283826d1c63ab5c57, https://www.notion.so/Aave-Matic-Market-USDT-94524989ec534bc3ab0612b6fe97f6a7"
Curve USD Market Making,C,0.0068,https://exponential.fi/pools/79f00d7e-a55d-4fd8-8f81-9b7266142f00,Curve,"USDT,USDC,DAI","Tether USD (Optimism),USD Coin (Optimism),Dai Stablecoin (Optimism)",https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Tether-USD-Optimism-08cb52b8fff64906bdfbdec9b9ef41bb, https://www.notion.so/USD-Coin-Optimism-e9e478f29ca149308ac4e572c9d35921, https://www.notion.so/Dai-Stablecoin-Optimism-e1f800b120b64918a14bd49e952e0b66"
Euler USD Lending,B,0.0175,https://exponential.fi/pools/11861feb-9998-4440-bb6a-ea140de3b3f5,Euler,USDC,USD Coin (Ethereum),https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316
Euler USD Lending,B,0.0108,https://exponential.fi/pools/cdd919b8-f193-4397-b8fb-db507536eacd,Euler,DAI,Dai Stablecoin,https://www.notion.so/Euler-a387e1ce165d4e02b428d4605d1d7ce6,https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364
Gearbox USD Lending,B,0.045,https://exponential.fi/pools/6e8e0e05-bdfd-40b9-8de0-31055dfd4115,Gearbox,USDC,USD Coin (Ethereum),https://www.notion.so/Gearbox-bd6923fd8d06439f89f2a99edc368362,https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316
Hop USD Bridging,C,0.0876,https://exponential.fi/pools/bc89d8b9-6077-4860-92f2-0aef3e58e906,Hop,USDT,Tether USD (Optimism),https://www.notion.so/Hop-5d5b95b6d01f4142a38ec9b6e366e9ad,https://www.notion.so/Tether-USD-Optimism-08cb52b8fff64906bdfbdec9b9ef41bb
