Associated Pools,Name,Ticker,Risk Rating (Exponential),Chain
"https://www.notion.so/Euler-ETH-Lending-95f458b8a02744adbe4bacb3103e03df, https://www.notion.so/Yearn-ETH-Market-Making-6793a74cfbfe434b8b8793127ed50106, https://www.notion.so/Uniswap-ETH-Market-Making-22c69945082a495abc5b7d3354c30406",Coinbase Wrapped Staked ETH,cbETH,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Lido-SOL-Staking-b2373ddb24f54b7c84d890a4245c6982, https://www.notion.so/Marinade-SOL-Staking-00864de0161241a2b3680b532778a54c, https://www.notion.so/Saber-SOL-Market-Making-38b6cb7285e3480b9ce2bc63cfe27c27, https://www.notion.so/Quarry-SOL-Market-Making-bb00ed4a85014c3f9d9feae4fc36ff29, https://www.notion.so/Lifinity-SOL-USDC-Market-Making-67e57b31c00e47e9b70c842072529898, https://www.notion.so/Lifinity-SOL-USDT-Market-Making-400da2e9837f4266aedc5e6fa56fd710, https://www.notion.so/Raydium-SOL-USD-Market-Making-4d841533e6944062b3321780eebf7427, https://www.notion.so/Raydium-SOL-USD-Market-Making-01994d063e464adbae9c3b3de515a0ae, https://www.notion.so/Raydium-SOL-ETH-Market-Making-c64c2082ee47418e94b39b36e9cb111d",SOL,SOL,Best,https://www.notion.so/Solana-022c24c585b842e8864b91dd63e37f5a
"https://www.notion.so/Lido-MATIC-Staking-98034a2731174584a749e31242e24b4d, https://www.notion.so/Clipper-Tricrypto-MATIC-Market-Making-ef19e460d97c4a58a2366e9a7d7eed8f, https://www.notion.so/Uniswap-ETH-MATIC-Market-Making-5ca9a69050304f8ba0dd0877855ed738, https://www.notion.so/Quickswap-MATIC-ETH-Market-Making-c680bc8427a34a9e904ff0184c25d58d, https://www.notion.so/KyberSwap-MATIC-USD-Market-Making-6114653da3164124b4ab8d3a714d8964, https://www.notion.so/Quickswap-MATIC-USD-Market-Making-e78ebe73bf694f25bba7b8cdb78ef039, https://www.notion.so/Balancer-MATIC-Market-Making-d2dccc5013834373ac9317d131ebad51, https://www.notion.so/Beefy-MATIC-Market-Making-dc307e71cdb24d80a2b1e055a0ce4e04",MATIC,MATIC,Best,https://www.notion.so/Polygon-7674f8d92d2b405d854a758c7d3ec4fa
,Wrapped Ether (Ethereum),WETH,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/KyberSwap-MATIC-Market-Making-36110997c77c4adc8fab4b76214688c8, https://www.notion.so/KyberSwap-MATIC-USD-Market-Making-681e6ba6c7b741578a6d0dc31c35e725, https://www.notion.so/Balancer-MATIC-Market-Making-d2dccc5013834373ac9317d131ebad51, https://www.notion.so/Beefy-MATIC-Market-Making-dc307e71cdb24d80a2b1e055a0ce4e04",Lido Staked MATIC (Polygon),stMATIC,Good,https://www.notion.so/Polygon-7674f8d92d2b405d854a758c7d3ec4fa
"https://www.notion.so/Pendle-LOOKS-Yield-Token-3-29-2ef611ce66324a5996c6521073d60973, https://www.notion.so/Pendle-LOOKS-Market-Making-3-29-aba0e18ed3e14fd2b98b411747a5b7e5, https://www.notion.so/LooksRare-Fee-Sharing-be74114a60194c0f842adc5ae9b5cf18, https://www.notion.so/Pendle-LOOKS-Principal-Token-3-29-a24788e200644fb3b6265042f85eaeee, https://www.notion.so/Uniswap-ETH-LOOKS-Market-Making-1558792bcd684a40b84e5888492f9439",LooksRare Token,LOOKS,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Trader-Joe-AVAX-ETH-Market-Making-f3a692e8780e4e4081289178ad63280c, https://www.notion.so/cBridge-ETH-Avalanche-f2faf0b8c65f48b29e20a538d06df2db, https://www.notion.so/Synapse-ETH-Market-Making-317b029337034de895ba97ac5e38d6f3, https://www.notion.so/Trader-Joe-ETH-Lending-90091be854004ea996fe9b81260cc403, https://www.notion.so/Beefy-AVAX-ETH-Market-Making-22d427c3ede1441ca7493c8d933dfbcf, https://www.notion.so/Benqi-ETH-Lending-3d34d4d8a8704f6c9f2a4a89f1774150, https://www.notion.so/Pangolin-AVAX-ETH-Market-Making-ccabcca57d2b4caf837fef462c1ca356",Wrapped Ether (Avalanche),WETH.e,Good,https://www.notion.so/Avalanche-b9e965600817456ca2fb67c6cc74feb0
"https://www.notion.so/Beefy-AVAX-Market-Making-529f036036914dd8beb519302a88174e, https://www.notion.so/Trader-Joe-AVAX-Market-Making-16030e3c58d344e0b9244fd24df6b340, https://www.notion.so/Pangolin-AVAX-Market-Making-12cac26f047d41caaeabf1427cf329bb, https://www.notion.so/Platypus-AVAX-Market-Making-ec370326e45e4bd5a0c973d7722d1e5c, https://www.notion.so/Aave-sAVAX-Lending-7d31bdd836bb4b3e8917339b6c3f84a3, https://www.notion.so/Trader-Joe-V2-AVAX-Market-Making-a8f83621e1054360a33c4276541358f1, https://www.notion.so/Ribbon-AVAX-Calls-a1fd1286e6a146f7b417521bffb76459, https://www.notion.so/Benqi-AVAX-Lending-577b3c52438d402388add34fae8d0622",Benqi Liquid Staked AVAX,sAVAX,Best,https://www.notion.so/Avalanche-b9e965600817456ca2fb67c6cc74feb0
"https://www.notion.so/Umami-Staking-96de261ee9d94fe594400f906ddc2c8b, https://www.notion.so/Uniswap-UMAMI-ETH-Market-Making-100bp-3d71882b28c942f7ac581d1512a17a12",UMAMI,UMAMI,Good,https://www.notion.so/Arbitrum-f8d5cdab8d004f53abeec9c660867a64
"https://www.notion.so/GMX-Fee-Sharing-0fbf7f40f7394506933e2789dcca1a1f, https://www.notion.so/Uniswap-GMX-USD-Market-Making-8a4096d8fc60455e83e71a55e311c0a8, https://www.notion.so/Uniswap-GMX-ETH-Market-Making-ea87f2dfd2bd436b81d532aa511b30bf, https://www.notion.so/Uniswap-ETH-GMX-Market-Making-484489897c6d49c4ba0167edc999e60c, https://www.notion.so/Uniswap-GMX-USD-Market-Making-1bp-1c7573d44b57408ca1b7c81a2518a28e",GMX,GMX,Best,https://www.notion.so/Arbitrum-f8d5cdab8d004f53abeec9c660867a64
