Associated Pools,Name,Ticker,Risk Rating (Exponential),Chain
"https://www.notion.so/Balancer-ETH-Market-Making-a3cf467cb3424c73a7c2487fc25eadf6, https://www.notion.so/Euler-ETH-Lending-7ef710f7617242d5a2efb9d8b5e6d6d4, https://www.notion.so/Gearbox-ETH-Lending-a3f2ec8ea40d4f9f9a783896458755ee, https://www.notion.so/KyberSwap-ETH-Market-Making-554021e69f1d4d20983b7c408670907a",Wrapped stETH,wstETH,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Uniswap-USDC-FOLD-Market-Making-1f618128dea64938ace45bf9551cbb1c,Manifold Finance,FOLD,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Trader-Joe-AVAX-ETH-Market-Making-f3a692e8780e4e4081289178ad63280c, https://www.notion.so/Beefy-AVAX-Market-Making-529f036036914dd8beb519302a88174e, https://www.notion.so/Trader-Joe-AVAX-Market-Making-16030e3c58d344e0b9244fd24df6b340, https://www.notion.so/Pangolin-AVAX-Market-Making-12cac26f047d41caaeabf1427cf329bb, https://www.notion.so/Platypus-AVAX-Market-Making-ec370326e45e4bd5a0c973d7722d1e5c, https://www.notion.so/Aave-AVAX-Lending-d580b7e245d44335ba5e162dc272a04e, https://www.notion.so/WOOFi-AVAX-Staking-aa4a9db7988445f19a117dc3153b2210, https://www.notion.so/Benqi-AVAX-Staking-a91d8131e0d34ca1b4a976aa74df6211, https://www.notion.so/Ribbon-AVAX-Calls-79d723384969415ca1e58b0e959f255e, https://www.notion.so/Trader-Joe-BTC-AVAX-Market-Making-cd8e590b4da1421a88e71b63650ffd73, https://www.notion.so/Trader-Joe-AVAX-USD-Market-Making-610b4aecf9cc4b30a2e7998aabd1f3fb, https://www.notion.so/Pangolin-AVAX-USD-Market-Making-429dfff315a044ef8f376ebdfeeb049a, https://www.notion.so/Trader-Joe-AVAX-USD-Market-Making-2f83fd77f8a648bb922acd65f53c0ad4, https://www.notion.so/Trader-Joe-AVAX-USD-Market-Making-74b145757b1849cdaba89b12e9ffaf80, https://www.notion.so/Trader-Joe-AVAX-USD-Market-Making-7503c07fa9a246468495c1870680d6ee, https://www.notion.so/Trader-Joe-AVAX-USD-Market-Making-9e1740b7f9314b22a4075d2a6935e277, https://www.notion.so/Trader-Joe-AVAX-USD-Market-Making-90be208a12a84a1aae81da56efe2889e, https://www.notion.so/Aave-AVAX-Lending-legacy-v2-f78a00b685c848da8b53c7a0817958d7, https://www.notion.so/Trader-Joe-AVAX-Lending-029e63398efb49a1a0f36a510fae4fae, https://www.notion.so/Beefy-AVAX-ETH-Market-Making-22d427c3ede1441ca7493c8d933dfbcf, https://www.notion.so/Benqi-AVAX-Lending-6876ae3d21a14ce2bd3865438239562f, https://www.notion.so/Pangolin-AVAX-ETH-Market-Making-ccabcca57d2b4caf837fef462c1ca356",Avalanche,AVAX,Best,https://www.notion.so/Avalanche-b9e965600817456ca2fb67c6cc74feb0
"https://www.notion.so/WOOFi-OP-Staking-74a352c682d64e98b74b1acd06cb76ea, https://www.notion.so/Sonne-OP-Lending-b661cd6f6fb44e14858da7f61a2f7a41, https://www.notion.so/Clipper-Tricrypto-LINK-OP-Market-Making-72f493cf3cf84dbb97a576eb2f8613c0, https://www.notion.so/Uniswap-ETH-OP-Market-Making-2b5c0abad3344a88bda4b6ac144f8be6, https://www.notion.so/Beethoven-OP-ETH-USD-Market-Making-6a72960473ea47c286147e3981f5cfe5, https://www.notion.so/Uniswap-OP-USD-Market-Making-57b41ceb40804e4887ef67a25d4fc6b3",Optimism,OP,Good,https://www.notion.so/Optimism-bc636b25a65b4524ac249b8e626cad75
"https://www.notion.so/Pendle-APE-Yield-Token-6-28-d793bf84335a4cc4920225174ff00688, https://www.notion.so/Pendle-APE-Market-Making-6-28-128aa156f0724a76aacf845b66cca71b, https://www.notion.so/Pendle-APE-Principal-Token-6-28-eb617db7e2a9437986b67e8e83c03523",APE Coin,APE,,
"https://www.notion.so/Dopex-DPX-Monthly-Calls-cf6d311ccd6944979a3c44d2713939d6, https://www.notion.so/Sushi-ETH-DPX-Market-Making-ce0516ec4c144c248f81fbc087366d42",Dopex Governance Token,DPX,Best,https://www.notion.so/Arbitrum-f8d5cdab8d004f53abeec9c660867a64
"https://www.notion.so/Aave-AAVE-Staking-6018780e9a9045c3becd2d7070bb94e5, https://www.notion.so/Aave-AAVE-ETH-Staking-56b26844758244a69ac8bd385136c4de, https://www.notion.so/Yearn-AAVE-Lending-dad2ee0759044108b2e11f4a51715f75",Aave Token (Ethereum),AAVE,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Yearn-ETH-Market-Making-e85aa83399c940e09a3b9fd04e960118,Ankr Eth2 Reward Bearing Certificate,aETHc,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Convex-EUR-USD-Market-Making-2d49f8c3e7804548afb5c16167243c1d, https://www.notion.so/Velodrome-EUR-USD-Market-Making-f0eba038d77e4cbaa1a57850471a9dc1, https://www.notion.so/Uniswap-EUR-USD-Market-Making-2d05ae8e9a254b7f8fe5b08a90c6cfb2, https://www.notion.so/Convex-EUR-Market-Making-fec48d7f75ca4c07850d59ea893057a7, https://www.notion.so/Convex-EUR-Market-Making-b94093f7fe2842a8b9d8609e9befd700, https://www.notion.so/Convex-EUR-Market-Making-5d929c8e318f42ad86d5325d4f962eb7, https://www.notion.so/Convex-EUR-Market-Making-0e829a7c0ed44724a2145bcc61b0a918",agEUR (Ethereum),agEUR,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Convex-ETH-Market-Making-85d223b59f0444c882a97a98d7939cff, https://www.notion.so/Mero-ETH-Staking-b6a50aad50c848548469635fa929a1ab",Alchemix ETH (Ethereum),alETH,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
,Alpha Token,ALPHA,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Beefy-USD-Market-Making-d562b1b671194ccc8b296cc35ff3cc46,Alchemix USD (Optimism),alUSD,Good,https://www.notion.so/Optimism-bc636b25a65b4524ac249b8e626cad75
https://www.notion.so/Tokemak-USD-Market-Making-86df19864a8a4b6e97aecfa782cd6861,Alchemix USD (Ethereum),alUSD,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Beefy-AVAX-FTM-Market-Making-11c3944d9d4e4bec90dd031510617701,Avalanche (Fantom),AVAX,Best,https://www.notion.so/Fantom-5c7c8e52ab29487bba272e685a020f5e
,Wrapped AVAX (Wormhole Polygon),WAVAX,Best,https://www.notion.so/Polygon-7674f8d92d2b405d854a758c7d3ec4fa
,Wrapped AVAX (Wormhole Solana),WAVAX,Best,https://www.notion.so/Solana-022c24c585b842e8864b91dd63e37f5a
,Axie Infinity Shard,AXS,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Llama-Airforce-BAL-Staking-0aaf0824d30c46a3b1c0e0e71df61970,Balancer (Ethereum),BAL,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/BendDAO-Fee-Sharing-8131b482a2ef4463b89726b8ea7cbf71,Bend Token,BEND,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Chicken-Bonds-USD-Bonding-0741980e269240dfb3a60ab6bc5b0998, https://www.notion.so/Curve-USD-Market-Making-e4b30900f7ef4d79b68552e4283eaf17",Boosted LUSD,bLUSD,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/WOOFi-BNB-Staking-01bd10bdd127464d975aed3c8defaaf2, https://www.notion.so/Stader-BNB-Staking-aaa0cd23ec774f64b426335d6379fc73, https://www.notion.so/Pancakeswap-BNB-ETH-Market-Making-d1fdbaae1e1e4e0da933e0526a73e07e, https://www.notion.so/Wombat-BNB-Market-Making-ef20402ac39b48d7a29246e6fc580975",Binance Chain Native Token,BNB,Good,https://www.notion.so/BNB-Chain-c98ffd928880485e871d933cc7ba0384
https://www.notion.so/AutoFarm-ETH-BNB-Market-Making-59756717cfc949ba951bf62debea5665,Wrapped BNB,WBNB,Good,https://www.notion.so/BNB-Chain-c98ffd928880485e871d933cc7ba0384
,Bancor,BNT,Watch Out,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Spookyswap-FTM-BOO-Market-Making-da7cf66f09d84ceda0e6c86fa95279eb,SpookyToken,BOO,Good,https://www.notion.so/Fantom-5c7c8e52ab29487bba272e685a020f5e
"https://www.notion.so/Radiant-BTC-Lending-2ad7a76d02954a80bbc1448894f95e48, https://www.notion.so/Beefy-Tricrypto-Market-Making-fd14f08ed5fb4071a077e234d007eb91, https://www.notion.so/Balancer-Tricrypto-Market-Making-edad4fe8eacf4472a846eda067bff53b, https://www.notion.so/Beefy-Tricrypto-Market-Making-9348ac59ae594784a9fedd5f76e60c65, https://www.notion.so/RageTrade-Tricrypto-Market-Making-6af5484a10e84e97b9f13014100137cd, https://www.notion.so/Uniswap-BTC-ETH-30bp-Market-Making-de0ba1e115e04b6dafc3f03f7923df3e",Wrapped BTC (Arbitrum),WBTC,Good,https://www.notion.so/Arbitrum-f8d5cdab8d004f53abeec9c660867a64
,Binance Wrapped BTC,BBTC,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/DeFiChain-BTC-DFI-Market-Making-2ac6a2784853481cbf482439b6ea0974,DeFiChain Bitcoin,dBTC,Good,https://www.notion.so/DeFiChain-4190c34f5f8e498380040b2808751198
"https://www.notion.so/Venus-BTC-Lending-de8a89ad745f4b2a9422f1e50358b8ac, https://www.notion.so/PancakeSwap-BTC-ETH-Market-Making-7d0c2bd744634be39f258bce2d1f389f, https://www.notion.so/Biswap-BTC-USD-Market-Making-fa442764b49e4a58aa3815d79094bc29, https://www.notion.so/PancakeSwap-BTC-USD-Market-Making-d91e76e18d5e4f75b4dfd25f034df6fd, https://www.notion.so/Beefy-BTC-USD-Market-Making-46085067c8a140399a099dfeb56a9f81",Binance-Peg BTCB Token,BTCB,Good,https://www.notion.so/BNB-Chain-c98ffd928880485e871d933cc7ba0384
"https://www.notion.so/0VIX-BTC-Lending-92715b19f9304545b4b2919cafdca27b, https://www.notion.so/Clipper-Tricrypto-MATIC-Market-Making-ef19e460d97c4a58a2366e9a7d7eed8f, https://www.notion.so/Balancer-Tricrypto-Market-Making-9e115ccbd19448798675a7a6237f46d9, https://www.notion.so/Beefy-Tricrypto-Market-Making-8c6b5810b65540189dd8b7f7edb326a4, https://www.notion.so/Uniswap-BTC-ETH-Market-Making-610572a8b23f418487180c35e66560f3, https://www.notion.so/KyberSwap-BTC-ETH-Market-Making-128ee471629f48dca2dc78ede4659df6, https://www.notion.so/Uniswap-BTC-USD-Market-Making-c8cd533427044ff894deecd1930c429e",Wrapped BTC (PoS Polygon),WBTC,Good,https://www.notion.so/Polygon-7674f8d92d2b405d854a758c7d3ec4fa
https://www.notion.so/Beethoven-FTM-Tricrypto-Market-Making-bb4c41e61f83404089766bcd1c704dec,Bitcoin (Fantom),BTC,Good,https://www.notion.so/Fantom-5c7c8e52ab29487bba272e685a020f5e
,renBTC (Polygon),renBTC,Best,https://www.notion.so/Polygon-7674f8d92d2b405d854a758c7d3ec4fa
"https://www.notion.so/Convex-BTC-Market-Making-84a0b2081f9d4931a52119f95c70eac0, https://www.notion.so/Badger-BTC-Market-Making-07362aa8af9b4618a87671dd79be786a",renBTC (Ethereum),renBTC,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Uniswap-BTC-Market-Making-0b4cbb47e1624724b30ae015fef52b47, https://www.notion.so/Yearn-BTC-Market-Making-1bcf03cf242a47ac9c0fe20884130e3d, https://www.notion.so/Gearbox-BTC-Lending-442cb3f065e4441ca10cf2b9f8b611ff, https://www.notion.so/Notional-BTC-Fixed-Term-Lending-3-23-78de672acc73460e8e91a7ceefcccd6b, https://www.notion.so/Convex-BTC-Market-Making-84a0b2081f9d4931a52119f95c70eac0, https://www.notion.so/Notional-BTC-Fixed-Term-Lending-6-21-0e8653d540004a528d3f3ce1fddb55bf, https://www.notion.so/Morpho-Aave-BTC-Lending-3c940340758f41d198b5c7a3e3efa369, https://www.notion.so/Euler-BTC-Lending-1cf1447cee25486d95a72044eb66ac16, https://www.notion.so/Badger-BTC-Market-Making-07362aa8af9b4618a87671dd79be786a, https://www.notion.so/Notional-BTC-Market-Making-24bc0fffb5974b2dacebba66f6291121, https://www.notion.so/Morpho-Compound-BTC-Lending-75f8557ed5ec40e8b01c1bdd451ed03d, https://www.notion.so/Clipper-Tricrypto-Market-Making-7e0de2bb24024e5c9911d083a42ff43a, https://www.notion.so/Yearn-Tricrypto-Market-Making-2a046da84b9e4322898ae81135100278, https://www.notion.so/Curve-Tricrypto-Market-Making-5833acceac99451e98171487dc0bc9d4, https://www.notion.so/Sommelier-ETH-BTC-Trend-20fe0878125e40869b88e754a5c482b0, https://www.notion.so/Sommelier-ETH-BTC-Momentum-dc1007792a784ccab723ab0076d42e52, https://www.notion.so/Uniswap-BTC-ETH-5bp-Market-Making-806b4f6cd11a4579afe4a39de6bf87e4, https://www.notion.so/Balancer-BTC-ETH-Market-Making-43698178c5274b319a57ea2284227415, https://www.notion.so/Uniswap-BTC-USD-Market-Making-dcfe7026a19a440aaa561d12451ee9c4, https://www.notion.so/Uniswap-BTC-USD-Market-Making-3f022d8af2a84162980037a6e92f54b2, https://www.notion.so/Aave-BTC-Lending-e255495661094829849923e7ee635d3a, https://www.notion.so/Across-BTC-Bridging-4d0323751de44dd4ab81a790937475b2, https://www.notion.so/Compound-BTC-Lending-221b49eed5944743a3eedb22d034f631, https://www.notion.so/PancakeSwap-BTC-ETH-Market-Making-636825805e9e42c489434d72ed09d059",Wrapped BTC (Ethereum),WBTC,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Trader-Joe-V2-BTC-Market-Making-a8d88b34fa014ac292cdd46d399152a5, https://www.notion.so/Benqi-BTC-Lending-8da7f32f90c74b64966dc93bce533868, https://www.notion.so/Platypus-BTC-Market-Making-009226ef193a408db254689152c9bce4",Bitcoin (Avalanche),BTC.b,Best,https://www.notion.so/Avalanche-b9e965600817456ca2fb67c6cc74feb0
"https://www.notion.so/Trader-Joe-V2-BTC-Market-Making-a8d88b34fa014ac292cdd46d399152a5, https://www.notion.so/Platypus-BTC-Market-Making-009226ef193a408db254689152c9bce4, https://www.notion.so/Benqi-BTC-Lending-f0af699402a540678cf010c9b4ab1f99, https://www.notion.so/Trader-Joe-BTC-Lending-e1c93a4d377d4d0e9b4ebf4000b87f32, https://www.notion.so/Beefy-Tricrypto-Market-Making-cfa19578ce734c98947ee51b4728920d, https://www.notion.so/Trader-Joe-BTC-AVAX-Market-Making-cd8e590b4da1421a88e71b63650ffd73",Wrapped BTC (Avalanche),WBTC.e,Good,https://www.notion.so/Avalanche-b9e965600817456ca2fb67c6cc74feb0
"https://www.notion.so/Curve-BTC-Market-Making-6e59fb7161c04f34b8619f2c334601ec, https://www.notion.so/Sonne-BTC-Lending-349f1373bf154d33aef9defd85a2f480, https://www.notion.so/Aave-BTC-Lending-3bc26cdc8cc14b2d820a7268ab441f11, https://www.notion.so/Yearn-BTC-Lending-c875a458103240528acce4d60525622c, https://www.notion.so/Clipper-Tricrypto-LINK-OP-Market-Making-72f493cf3cf84dbb97a576eb2f8613c0, https://www.notion.so/Beethoven-Tricrypto-Market-Making-3580d5a14152427a9a09df1e7acd451c, https://www.notion.so/Uniswap-BTC-ETH-Market-Making-cfeb8faa6d8c422e83c13772dae6df5a",Wrapped BTC (Optimism),WBTC,Good,https://www.notion.so/Optimism-bc636b25a65b4524ac249b8e626cad75
https://www.notion.so/Redacted-BTRFLY-Fee-Sharing-bae6e6d6be204ad79986dd4b9a84449d,BTRFLY,BTRFLY,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/TrueFi-USD-Lending-892c15d144834517bd5d9766193e8c0a,Binance USD (Ethereum),BUSD,Good,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Synapse-USD-Market-Making-c111eabcda5a4c84b0ab5eb4d1a99c12, https://www.notion.so/PancakeSwap-BTC-USD-Market-Making-d91e76e18d5e4f75b4dfd25f034df6fd, https://www.notion.so/Beefy-BTC-USD-Market-Making-46085067c8a140399a099dfeb56a9f81, https://www.notion.so/AutoFarm-USD-Market-Making-20add8411a1147f990e5be896a309ab1, https://www.notion.so/PancakeSwap-USDC-BUSD-Market-Making-957c56ef0974407285475602e22d9e19, https://www.notion.so/Stargate-USD-Bridging-608f37c44107480fa8304af253ec7703, https://www.notion.so/Venus-USD-Lending-5efe617dfda54f79b2ef30e6950857b2, https://www.notion.so/Wombat-USD-Market-Making-e1792e30777e4a2f9ef627c85cefaffc",Binance-Peg BUSD Token (BNB Chain),BUSD,Good,https://www.notion.so/BNB-Chain-c98ffd928880485e871d933cc7ba0384
,Compound Collateral,cCOMP,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/Balancer-COMP-ETH-Market-Making-e9181d60939d45bf89d97b33966ba90e,Compound,COMP,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
https://www.notion.so/AutoFarm-ETH-CRO-Market-Making-7d84f1cd6a9c491a8dfe1e0daf436ef3,CRO,CRO,Good,https://www.notion.so/Cronos-28f01dd1f51341d4aee928b88d26c498
,Wrapped CRO,WCRO,Good,https://www.notion.so/Cronos-28f01dd1f51341d4aee928b88d26c498
"https://www.notion.so/Yearn-CRV-Market-Making-502cdc8b6b3b411d8d1b9c3b2951600e, https://www.notion.so/Convex-cvxCRV-CRV-Market-Making-17dfc96789404afba824ce4aedd231bf",Convex CRV,cvxCRV,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Curve-CRV-Fee-Sharing-35b805b0132c48cc8a92b44dc85802bb, https://www.notion.so/Yearn-CRV-Staking-b4916ee4591149668f2e55f03915a134, https://www.notion.so/Llama-Airforce-CRV-Fee-Sharing-8ae48cc89c9543eba45d9e84c1c229c7, https://www.notion.so/StakeDAO-CRV-Staking-9f3a510a01e24e6a8c23e4874600b36c, https://www.notion.so/Yearn-CRV-Market-Making-502cdc8b6b3b411d8d1b9c3b2951600e, https://www.notion.so/Convex-ETH-CRV-Market-Making-bb0747c7004749c39023314afe7cd7d9, https://www.notion.so/Convex-cvxCRV-CRV-Market-Making-17dfc96789404afba824ce4aedd231bf, https://www.notion.so/Yearn-CRV-ETH-Market-Making-82a946b18f6b48b98f6b7f58571b9986, https://www.notion.so/Convex-CRV-Fee-Sharing-2347df82732c4d1c8e7305e874bb523e",Curve DAO Token (Ethereum),CRV,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Llama-Airforce-CVX-Fee-Sharing-ad2d46eec06745b38695b9ed2e663608, https://www.notion.so/Convex-ETH-CVX-Market-Making-4824f186448d4c869ea9cf54e1376d3b, https://www.notion.so/Yearn-CVX-ETH-Market-Making-772863406d894c7686b02e400348c03e, https://www.notion.so/Convex-CVX-Staking-98bc46afa1ac452c97c94b7ff6b26da0",Convex Token,CVX,Best,https://www.notion.so/Ethereum-c79d5959d3b0408b83e8d341fd6b60ac
"https://www.notion.so/Sonne-USD-Lending-8e2a40d709634eff866253db61c9a98a, https://www.notion.so/Reaper-Farm-USD-Lending-fc0a4ab2ca664d748d32dd07478f5c97, https://www.notion.so/KyberSwap-USD-Market-Making-273060ea627944d3ae338b6e9078ec48, https://www.notion.so/Beethoven-Tricrypto-Market-Making-3580d5a14152427a9a09df1e7acd451c, https://www.notion.so/Beethoven-OP-ETH-USD-Market-Making-6a72960473ea47c286147e3981f5cfe5, https://www.notion.so/Uniswap-ETH-USD-Market-Making-8080b81c6ebd4a869a6c30f888469010, https://www.notion.so/KyberSwap-ETH-USD-Market-Making-7eb81f91a6ab424387421ab051cde3c9, https://www.notion.so/Aave-USD-Lending-65302806b2a74ece8492609a7e6efee6, https://www.notion.so/Beefy-USD-Market-Making-0b7e7bf2c62a4d9398dc9c500019fe89, https://www.notion.so/Beefy-USD-Market-Making-54dd5301ebc0484cbb6ec17510ba6ae2, https://www.notion.so/Curve-USD-Market-Making-f93f2a91cff543938b8e53ed52d52751, https://www.notion.so/Hop-USD-Bridging-acf8416951ea442e878fd3866cb212e9, https://www.notion.so/KyberSwap-USD-Market-Making-551f1902809a4524977335ff3bb44d10",Dai Stablecoin (Optimism),DAI,Good,https://www.notion.so/Optimism-bc636b25a65b4524ac249b8e626cad75
https://www.notion.so/Curve-USD-Market-Making-9b5803272b5f4bb0be398caaea44cfad,Aave Matic Market DAI,amDAI,Good,https://www.notion.so/Polygon-7674f8d92d2b405d854a758c7d3ec4fa
"https://www.notion.so/AutoFarm-USD-Market-Making-20add8411a1147f990e5be896a309ab1, https://www.notion.so/Wombat-USD-Market-Making-f9e4c2d57ea4401c8fd5a40b440a1b21",Dai Stablecoin (BNB Chain),DAI,Average,https://www.notion.so/BNB-Chain-c98ffd928880485e871d933cc7ba0384
