Name,Risk Rating (Exponential),Protocol URL (Exponential),Related Pools
Dopex,Watch Out,https://exponential.fi/protocols/8d4e975b-afa2-48fd-b70f-443cf0d3269c,"https://www.notion.so/Dopex-DPX-Monthly-Calls-cf6d311ccd6944979a3c44d2713939d6, https://www.notion.so/Dopex-ETH-Weekly-Puts-fb48ca9bf26b4b5f90d9ff13ea38e32e, https://www.notion.so/Dopex-ETH-Short-Straddle-e314a161f3e341bd87074c9c241ffd1f, https://www.notion.so/Dopex-rDPX-Monthly-Calls-aa516a55929f483da476c5866c3132b7, https://www.notion.so/Dopex-ETH-Weekly-Calls-689892fe4ca84551b9dc9271176ca00d, https://www.notion.so/Dopex-ETH-Calls-1be91a24b3c542bebd929ee1532536ef, https://www.notion.so/Dopex-BTC-Weekly-Puts-ade46d10ba434315957f8e10aad5158c"
OVIX,Average,https://exponential.fi/protocols/a41d9f68-63d3-4ec1-9384-26c0f185c3ec,"https://www.notion.so/0VIX-BTC-Lending-92715b19f9304545b4b2919cafdca27b, https://www.notion.so/0VIX-USD-Lending-bf39d51aeeb84bcf8764daee9cac0e6e"
88mph,Good,https://exponential.fi/protocols/2e512fec-944d-4622-8dad-4b1d67fc9b18,
Aave V3,Best,https://exponential.fi/protocols/cc3aba83-e1a1-4e08-92db-ce196493667a,"https://www.notion.so/Aave-BTC-Lending-3bc26cdc8cc14b2d820a7268ab441f11, https://www.notion.so/Aave-AVAX-Lending-d580b7e245d44335ba5e162dc272a04e, https://www.notion.so/Aave-sAVAX-Lending-7d31bdd836bb4b3e8917339b6c3f84a3, https://www.notion.so/Aave-USD-Lending-41b5bcdf641e478faa845f2c7d5819fc, https://www.notion.so/Aave-USD-Lending-7bd8051114b24d3a9a2d5758f5f9312c, https://www.notion.so/Aave-USD-Lending-eb9b5e153f7f43bfa4dac5d9a88b122c, https://www.notion.so/Aave-USD-Lending-208ea84c3efb433b86d829b6da2b1823, https://www.notion.so/Aave-USD-Lending-65302806b2a74ece8492609a7e6efee6, https://www.notion.so/Aave-USD-Lending-e8636ef45eb94510ac6e354332997209, https://www.notion.so/Aave-ETH-Lending-0acb0de64e45457eb0765be55e87f095"
Abracadabra,Watch Out,https://exponential.fi/protocols/ddd034b4-b62e-4463-a43a-3c66debd1763,"https://www.notion.so/Abracadabra-SPELL-Fee-Sharing-c8568d1c4a2c4fbfb323d30bb6030048, https://www.notion.so/Abracadabra-USD-Market-Making-45e1e35d601b474eaf770bec7881f036, https://www.notion.so/Abracadabra-USD-Market-Making-f71c639e6f73428fb0c937aebb3bc194"
Across,Average,https://exponential.fi/protocols/d9108b3e-8f6f-4f81-8021-256ea48fa438,"https://www.notion.so/Across-ETH-Bridging-f3d875b02f5c49fdb8d59ea21b31fac3, https://www.notion.so/Across-USD-Bridging-cb4bc80359b64d3cb9134768113081ca, https://www.notion.so/Across-USD-Bridging-8df7f886f7324117a2751dce254b2047, https://www.notion.so/Across-BTC-Bridging-4d0323751de44dd4ab81a790937475b2"
Allbridge,Watch Out,https://exponential.fi/protocols/174b2e54-2e4e-474f-a769-85b145aac3b3,
Alpaca,Good,https://exponential.fi/protocols/df1c8ef2-b77d-49fe-82b4-8534b4d3d622,
Alpha Homora,Good,https://exponential.fi/protocols/2e215cf5-e8c4-4532-acbc-2949269d4d73,
Angle,Average,https://exponential.fi/protocols/9c12131c-0c5e-4e5e-8c75-4059e021a529,"https://www.notion.so/Angle-USD-Lending-fcaa7f383dca4c40a29b01e8289e70a1, https://www.notion.so/Angle-USD-Lending-3710025eb51c468da66e04d1a52b4121"
Ankr,Average,https://exponential.fi/protocols/aecd690b-b925-4ab7-aa56-19202c555a7e,
Arbitrum Bridge,Average,https://exponential.fi/protocols/a1df997f-159f-41be-a069-f8cd42e9f408,
Arrakis (G-UNI),Average,https://exponential.fi/protocols/2e725e0e-0f62-4667-8fd5-61770c9badac,
Autofarm,Average,https://exponential.fi/protocols/77d6d61c-cf94-4b1f-89cc-ef7348329eb0,"https://www.notion.so/AutoFarm-ETH-CRO-Market-Making-7d84f1cd6a9c491a8dfe1e0daf436ef3, https://www.notion.so/AutoFarm-ETH-BNB-Market-Making-59756717cfc949ba951bf62debea5665, https://www.notion.so/AutoFarm-USD-Market-Making-20add8411a1147f990e5be896a309ab1"
Avalanche Bridge,Watch Out,https://exponential.fi/protocols/7b2c8246-eb5c-4ae9-a12d-a2092d62ed6f,
Axie Infinity,Average,https://exponential.fi/protocols/3aa96885-5190-497f-a232-3419e6e2f904,
B.Protocol,Watch Out,https://exponential.fi/protocols/aa92b92c-057c-4151-921b-751ff3224974,
Badger,Good,https://exponential.fi/protocols/7aed1878-38db-4ead-9584-9370581b5753,https://www.notion.so/Badger-BTC-Market-Making-07362aa8af9b4618a87671dd79be786a
Balancer,Good,https://exponential.fi/protocols/6cb3d0b1-f15b-4325-bb90-3396e582b922,"https://www.notion.so/Balancer-ETH-Market-Making-a3cf467cb3424c73a7c2487fc25eadf6, https://www.notion.so/Balancer-ETH-Market-Making-6c2007d4ef5343b1b36031da2e587f43, https://www.notion.so/Balancer-Tricrypto-Market-Making-edad4fe8eacf4472a846eda067bff53b, https://www.notion.so/Balancer-Tricrypto-Market-Making-9e115ccbd19448798675a7a6237f46d9, https://www.notion.so/Balancer-BTC-ETH-Market-Making-43698178c5274b319a57ea2284227415, https://www.notion.so/Balancer-USD-Market-Making-cc0b13a6388e4c29a374df4f1c67eee3, https://www.notion.so/Balancer-USD-Market-Making-0c1aad74957846edba3adaf48001d69d, https://www.notion.so/Balancer-COMP-ETH-Market-Making-e9181d60939d45bf89d97b33966ba90e, https://www.notion.so/Balancer-MATIC-Market-Making-d2dccc5013834373ac9317d131ebad51"
Bancor V3,Watch Out,https://exponential.fi/protocols/50fd21f9-f04c-4eca-a4ed-b9c5b0d23a35,
Banker Joe,Watch Out,https://exponential.fi/protocols/d26669b3-c717-4748-b8c5-9729986cb1fc,"https://www.notion.so/Trader-Joe-BTC-Lending-e1c93a4d377d4d0e9b4ebf4000b87f32, https://www.notion.so/Trader-Joe-USD-Lending-fc472460c1b94d8cb9ae3d070003886c, https://www.notion.so/Trader-Joe-USD-Lending-1c30b3c65bf4439dab0a1347cf1cc24b, https://www.notion.so/Trader-Joe-ETH-Lending-90091be854004ea996fe9b81260cc403, https://www.notion.so/Trader-Joe-USD-Lending-f1156f9491de4eccb08a7865a12f2aea, https://www.notion.so/Trader-Joe-USD-Lending-d6b7f451907a40a593261c5910dc4a33, https://www.notion.so/Trader-Joe-AVAX-Lending-029e63398efb49a1a0f36a510fae4fae"
BarnBridge,Watch Out,https://exponential.fi/protocols/4f158d53-0ca1-42db-a646-124a02cf7231,
Beefy,Average,https://exponential.fi/protocols/ccaec48b-feb8-4445-b41d-58979c31e5d7,"https://www.notion.so/Beefy-ETH-Market-Making-55bb21b00a9140fdadaa84ad4909cdfa, https://www.notion.so/Beefy-USD-Market-Making-d562b1b671194ccc8b296cc35ff3cc46, https://www.notion.so/Beefy-AVAX-Market-Making-529f036036914dd8beb519302a88174e, https://www.notion.so/Beefy-FTM-Staking-31c29302a5dc45199b4a2e164113f6f3, https://www.notion.so/Beefy-Tricrypto-Market-Making-fd14f08ed5fb4071a077e234d007eb91, https://www.notion.so/Beefy-Tricrypto-Market-Making-9348ac59ae594784a9fedd5f76e60c65, https://www.notion.so/Beefy-Tricrypto-Market-Making-cfa19578ce734c98947ee51b4728920d, https://www.notion.so/Beefy-Tricrypto-Market-Making-8c6b5810b65540189dd8b7f7edb326a4, https://www.notion.so/Beefy-AVAX-FTM-Market-Making-11c3944d9d4e4bec90dd031510617701, https://www.notion.so/Beefy-BTC-USD-Market-Making-46085067c8a140399a099dfeb56a9f81, https://www.notion.so/Beefy-AVAX-ETH-Market-Making-22d427c3ede1441ca7493c8d933dfbcf, https://www.notion.so/Beefy-USD-Market-Making-78e170b4d3c54beb8a6a51ab0b53e1fa, https://www.notion.so/Beefy-USD-Market-Making-20c0bd79fc774fc2a38310669f473d6e, https://www.notion.so/Beefy-USD-Market-Making-78ddc34e30e742aa9a6eb9743ec16ddd, https://www.notion.so/Beefy-USD-Market-Making-0b7e7bf2c62a4d9398dc9c500019fe89, https://www.notion.so/Beefy-USD-Market-Making-0f4b8d24b90848c3aae26a5832940a6c, https://www.notion.so/Beefy-USD-Market-Making-4b17060adfea48d1b77de24f1534e30c, https://www.notion.so/Beefy-USD-Market-Making-54dd5301ebc0484cbb6ec17510ba6ae2, https://www.notion.so/Beefy-USD-Market-Making-6680887569d04ec9b8088b512de61bd1, https://www.notion.so/Beefy-MATIC-Market-Making-dc307e71cdb24d80a2b1e055a0ce4e04, https://www.notion.so/Beefy-EUR-USD-Market-Making-3a89655bb4f64fabb12343535839048d"
