pool_name,protocolo,assets,risk,yield,url
UwU USD Lending,https://www.notion.so/UwU-e8fa61687ac4482abdfb8ec5563a7dd4,https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c,D,0.044,https://exponential.fi/pools/fad32523-cb27-4122-b22d-813ce13108a7
UwU USD Lending,https://www.notion.so/UwU-e8fa61687ac4482abdfb8ec5563a7dd4,https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364,D,0.0371,https://exponential.fi/pools/00b401f9-11a9-4725-975f-aa265451bfba
Convex USD Market Making,https://www.notion.so/Convex-910d63740ea849b08b340b81ea7c21af,"https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/Dai-Stablecoin-376edb1ce3d942088af5c5ce4c802364, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316, https://www.notion.so/Tether-USD-Ethereum-0fd710520a85406d9575e4069fa27f0c",F,0.0297,https://exponential.fi/pools/8f21a974-61bc-4413-8a08-30b791d9e61c
Pendle USDC Principal Token (3/29),https://www.notion.so/Pendle-7cd317bcbc3943d0ab51853f9a8f048e,"https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316",F,0.0219,https://exponential.fi/pools/c1790d0a-e5b0-45cf-8f15-83426faf23ae
Mero USD Staking,https://www.notion.so/Mero-9996705d15a440f39311594ce2b42bdf,"https://www.notion.so/Frax-Ethereum-2c39cf8d821b4fefa9002a21a6b856da, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316",F,0.0211,https://exponential.fi/pools/410ad829-2668-49b7-8100-d9911e9547c6
Curve FIDU-USD Market Making,https://www.notion.so/Curve-0c7b96b2a2274fb4a869e971c604ee4f,"https://www.notion.so/Fidu-fc46116cee9f42429e0a493ed95ae1eb, https://www.notion.so/USD-Coin-Ethereum-5543257d4f2348c1ac408501694c7316",F,0.0092,https://exponential.fi/pools/a4824924-1992-4e6d-a761-8e33676e398f
KyberSwap ETH Market Making,https://www.notion.so/KyberSwap-afb9abc1379542e3875e4fe42ca7282e,"https://www.notion.so/Lido-Staked-ETH-bb04fee601b040d9864547d1a8676426, https://www.notion.so/Ether-Optimism-e704056a8b8341b6a94d3209204900e5",B,0.2066,https://exponential.fi/pools/bd36591e-3237-4360-83cd-4936b1b61898
Beethoven ETH Market Making,https://www.notion.so/Beethoven-X-708095aef6614b3d90e59e26d44b8fd6,"https://www.notion.so/Ether-Optimism-e704056a8b8341b6a94d3209204900e5, https://www.notion.so/Rocket-Pool-ETH-Optimism-681fea0bd0a949a29e17060066bd68cc",C,0.1274,https://exponential.fi/pools/3669478d-d645-49a1-985d-a957e0e788a2
Frax ETH Staking,https://www.notion.so/Frax-Ether-f791c0795f69469c87bbd83770754681,https://www.notion.so/Frax-Ether-7125030fffb04b6f9dbe876def5784fe,C,0.0755,https://exponential.fi/pools/67865fd7-c523-4700-a3d8-410ae8765b65
Uniswap ETH Market Making,https://www.notion.so/Uniswap-v3-5461faaf7fc343298b466a6ee71b9ff2,"https://www.notion.so/Ether-083c480c6565470385190396104819ad, https://www.notion.so/Coinbase-Wrapped-Staked-ETH-1dfae184eee1474da504942ddd079864",B,0.063,https://exponential.fi/pools/11b1cee1-2018-4565-9efe-b5dec316a1ab
